word_1,word_2,strength,shift_type,explanation_ru,word_1_ru,word_2_ru
neck,back of the head,1,metonymy,метонимия по близкому анатомическому местонахождению ,шея,затылок
neck,pride,2,metaphtonymy,"метафора из-за ассоциации с высоко поднятой головой; метонимия из-за наличия ""настоящей"" шеи, в отличие от горлышек бутылок и перешейков",шея,гордость
neck,collar,50,metonymy,метонимия по близости: его носят на шее,шея,воротник/ошейник
neck,throat,98,metonymy,метонимия по близкому анатомическому местонахождению ,шея,горло
neck,neck (of bottle etc.),11,metaphor,"метафора по сходству: ""узкая верхняя часть бутылки""",шея,горлышко
neck,crossroads,1,metaphor,"метафора по сходству, но непонятно с чем: исходное слово может обозначать и ""затылок""",шея,перекрёсток (дорожная развязка)
neck,"mountain ridge, edge",2,metaphor,метафора по сходству: узкая и высокая часть горы,шея,горный хребет
neck,mountain pass,5,metaphor,метафора по сходству: узкая и высокая часть горы,шея,перевал
neck,ravine,1,metaphor,"метафора по сходству: возможно, происходит от предыдущих ""горных"" значений",шея,"овраг, ущелье"
neck,strait,2,metaphor,"метафора по сходству: возможно, происходит от предыдущих ""горных"" значений",шея,пролив
neck,nape of neck,84,metonymy,метонимия по близкому анатомическому местонахождению ,шея,задняя часть шеи
neck,voice,27,metonymy,метонимия по близкому анатомическому местонахождению: одна из стадий речепроизводства происходит в горле,шея,голос
neck,tongue ,3,metonymy,метонимия по анатомической близости,шея,язык (часть тела)
neck,language,5,metonymy,"метонимия по анатомической близости: скорее всего, произошло от значения ""голос"" или ""язык"", так как имеет слабую связь с шеей, но сильную с ними",шея,язык (русский)
throat ,collar,11,-,-,-,-
throat ,voice,20,-,-,-,-
throat ,nape of neck,5,-,-,-,-
tongue,language,175,-,-,-,-
voice,language,68,-,-,-,-
"mountain ridge, edge",mountain pass,1,-,-,-,-
"mountain ridge, edge",ravine,1,-,-,-,-
"mountain ridge, edge",strait,1,-,-,-,-
mountain pass,ravine,1,-,-,-,-
mountain pass,strait,1,-,-,-,-
ravine,strait,1,-,-,-,-
